1. Raw captured requests total: 923
2. Unique method + full URL count: 256
3. Unique normalized endpoints (method + path template + query shape): 148

4. Category Totals:
   - jobs list/filter          : 8 unique endpoints
   - job detail                : 33 unique endpoints
   - users/assignment          : 10 unique endpoints
   - contacts                  : 15 unique endpoints
   - financials                : 19 unique endpoints
   - documents/files/photos    : 10 unique endpoints
   - notes/activity            : 5 unique endpoints
   - webhook/config            : 1 unique endpoints
   - other                     : 47 unique endpoints

=== FULL DEDUPED INVENTORY TABLE ===
| Category | Method | Normalized Path | Query Params Structure | Type Guess | Count | Example URL |
| job detail | POST | /api/v4/jobs/{uuid}/communications/thread/{uuid}/meta | (none) | json | 22 | /api/v4/jobs/ea2d3425-8049-4902-9632-3e9df8043d7b/communications/thread/3447ac43-3114-4735-877a-b7d7dbad81d4/meta |
| job detail | GET | /api/Jobs/GetBasicJobForOrder/{uuid} | (none) | json | 1 | /api/Jobs/GetBasicJobForOrder/ea2d3425-8049-4902-9632-3e9df8043d7b |
| job detail | GET | /api/Measurement/{uuid}/GetJobMeasurements | (none) | json | 1 | /api/Measurement/ea2d3425-8049-4902-9632-3e9df8043d7b/GetJobMeasurements |
| job detail | GET | /api/v4/job-measurements/{uuid}/view-measurements | (none) | json | 1 | /api/v4/job-measurements/ea2d3425-8049-4902-9632-3e9df8043d7b/view-measurements |
| job detail | GET | /api/Measurement/GetJobMeasurementOrders | jobID | json | 1 | /api/Measurement/GetJobMeasurementOrders?jobID=ea2d3425-8049-4902-9632-3e9df8043d7b |
| users/assignment | GET | /api/v3/user/settings | settings | json | 7 | /api/v3/user/settings?settings=dontShowCrewAppFreeTrialModal_Feb242025-2 |
| users/assignment | GET | /api/jobs/{uuid}/GetCurrentUserRole | (none) | json | 13 | /api/jobs/ea2d3425-8049-4902-9632-3e9df8043d7b/GetCurrentUserRole |
| users/assignment | GET | /api/v3/user | (none) | json | 5 | /api/v3/user |
| users/assignment | GET | /api/v3/companyusers/current | (none) | json | 5 | /api/v3/companyusers/current |
| users/assignment | GET | /api/v3/jobs/{uuid}/view-user-access | (none) | json | 1 | /api/v3/jobs/ea2d3425-8049-4902-9632-3e9df8043d7b/view-user-access |
| users/assignment | GET | /api/v3/companyusers | (none) | json | 1 | /api/v3/companyusers |
| users/assignment | GET | /api/v3/crew-app/is-enabled | (none) | json | 19 | /api/v3/crew-app/is-enabled |
| users/assignment | GET | /api/v3/companyusers/super-admin | (none) | json | 1 | /api/v3/companyusers/super-admin |
| users/assignment | GET | /api/Company/{uuid}/CompanyUser | (none) | json | 2 | /api/Company/ea2d3425-8049-4902-9632-3e9df8043d7b/CompanyUser |
| users/assignment | GET | /api/v3/crews | (none) | json | 1 | /api/v3/crews |
| contacts | GET | /api/jobs/IsSupplierOrderingEnabled | (none) | json | 2 | /api/jobs/IsSupplierOrderingEnabled |
| contacts | GET | /api/v3/customer-portal/{uuid}/overview-panel-info | (none) | json | 5 | /api/v3/customer-portal/ea2d3425-8049-4902-9632-3e9df8043d7b/overview-panel-info |
| contacts | GET | /api/v3/customer-portal/{uuid}/active-invites | (none) | json | 3 | /api/v3/customer-portal/ea2d3425-8049-4902-9632-3e9df8043d7b/active-invites |
| contacts | GET | /api/jobOverview/{uuid}/GetJobContacts | (none) | json | 3 | /api/jobOverview/ea2d3425-8049-4902-9632-3e9df8043d7b/GetJobContacts |
| contacts | GET | /api/v3/customer-portal/jobs/{uuid}/job-message-post-state | (none) | json | 20 | /api/v3/customer-portal/jobs/ea2d3425-8049-4902-9632-3e9df8043d7b/job-message-post-state |
| contacts | GET | /api/Suppliers/GetAvailableSuppliers | (none) | json | 3 | /api/Suppliers/GetAvailableSuppliers |
| contacts | GET | /api/Suppliers/GetCustomerInformation | jobId&lat&lng&supplierID | json | 1 | /api/Suppliers/GetCustomerInformation?jobId=&lat=39.1119022&lng=-108.5494763&supplierID=14a7f2e3-251a-463d-a9b4-a89f1b394448 |
| contacts | POST | /api/Suppliers/PostCatalogItemForPricing | jobID&supplierBranchID&supplierCustomerID&supplierID&supplierVendorAccountID | json | 26 | /api/Suppliers/PostCatalogItemForPricing?jobID=ea2d3425-8049-4902-9632-3e9df8043d7b&supplierBranchID=875bf619-a562-4b0f-9b09-5da7566a095c&supplierCustomerID=211678e6-7b55-4e7e-a244-848e4da6f2f5&supplierID=14a7f2e3-251a-463d-a9b4-a89f1b394448&supplierVendorAccountID=8872efd0-7afc-47d8-8a45-3ad3cd815ece |
| contacts | POST | /api/Catalog/AreAccuLynxItemsAvailableForSupplierBranch | supplierBranchId | json | 1 | /api/Catalog/AreAccuLynxItemsAvailableForSupplierBranch?supplierBranchId=875bf619-a562-4b0f-9b09-5da7566a095c |
| contacts | GET | /api/Suppliers/GetAllAvailableCustomerInformation | (none) | json | 2 | /api/Suppliers/GetAllAvailableCustomerInformation |
| contacts | GET | /api/Suppliers/GetCustomerInformation | jobId&lat&lng | json | 1 | /api/Suppliers/GetCustomerInformation?jobId=ea2d3425-8049-4902-9632-3e9df8043d7b&lat=39.1119022&lng=-108.5494763 |
| contacts | GET | /api/Company/GetCompanyContactSettings | (none) | json | 1 | /api/Company/GetCompanyContactSettings |
| contacts | POST | /api/Suppliers/GetSkuWarnings | (none) | json | 1 | /api/Suppliers/GetSkuWarnings |
| contacts | GET | /api/v2/joboverview/{uuid}/contacts | (none) | json | 1 | /api/v2/joboverview/ea2d3425-8049-4902-9632-3e9df8043d7b/contacts |
